"filename", "language", "JavaScript", "CSS", "SCSS", "JSON", "XML", "Markdown", "Log", "HTML", "comment", "blank", "total"
"e:\Dev\React\SidiroIOT\client\src\components\UserAccountsPage.component.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 0, 0, 12, 150
"e:\Dev\React\SidiroIOT\client\src\i18n.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 11, 11, 53
"e:\Dev\React\SidiroIOT\client\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\Dev\React\SidiroIOT\client\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
"e:\Dev\React\SidiroIOT\client\src\logo.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"e:\Dev\React\SidiroIOT\client\src\mock\index.mock.js", "JavaScript", 355, 0, 0, 0, 0, 0, 0, 0, 0, 9, 364
"e:\Dev\React\SidiroIOT\client\src\reducers\AccountPage.reducer.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"e:\Dev\React\SidiroIOT\client\src\reducers\Authentication.reducer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Dev\React\SidiroIOT\client\src\reducers\Backdrop.reducer.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"e:\Dev\React\SidiroIOT\client\src\reducers\ConfirmDeleteUserDialog.reducer.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"e:\Dev\React\SidiroIOT\client\src\reducers\CreateAccountDialog.reducer.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 1, 2, 71
"e:\Dev\React\SidiroIOT\client\src\reducers\DevicesList.reducer.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"e:\Dev\React\SidiroIOT\client\src\reducers\DevicesSelectionPage.reducer.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"e:\Dev\React\SidiroIOT\client\src\reducers\HardwareUsage.reducer.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"e:\Dev\React\SidiroIOT\client\src\reducers\IPConfig.reducer.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 1, 2, 64
"e:\Dev\React\SidiroIOT\client\src\reducers\LanguageDialog.reducer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Dev\React\SidiroIOT\client\src\reducers\LoginPage.reducer.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"e:\Dev\React\SidiroIOT\client\src\reducers\Root.reducer.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"e:\Dev\React\SidiroIOT\client\src\reducers\Settings.reducer.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"e:\Dev\React\SidiroIOT\client\src\reducers\Snackbar.reducer.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"e:\Dev\React\SidiroIOT\client\src\reducers\UniversalTabs.reducer.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"e:\Dev\React\SidiroIOT\client\src\reducers\UserAccountsPage.reducer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Dev\React\SidiroIOT\client\src\routes\DrawerRoutes.routes.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"e:\Dev\React\SidiroIOT\client\src\routes\ProtectedAdmin.routes.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"e:\Dev\React\SidiroIOT\client\src\routes\ProtectedUser.routes.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
