"filename", "language", "JavaScript", "CSS", "XML", "SCSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"e:\Dev\React\SidiroIOT\client\src\reducers\LoginPage.reducer.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 2, 35
"e:\Dev\React\SidiroIOT\client\src\reducers\Root.reducer.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Dev\React\SidiroIOT\client\src\reducers\Snackbar.reducer.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"e:\Dev\React\SidiroIOT\client\src\reducers\UniversalTabs.reducer.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 1, 2, 17
"e:\Dev\React\SidiroIOT\client\src\reducers\UserAccountsPage.reducer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Dev\React\SidiroIOT\client\src\routes\DrawerRoutes.routes.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"e:\Dev\React\SidiroIOT\client\src\routes\protected.routes.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 5, 46
"e:\Dev\React\SidiroIOT\client\src\serviceWorker.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 31, 13, 142
"e:\Dev\React\SidiroIOT\client\src\services\auth.service.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"e:\Dev\React\SidiroIOT\client\src\services\isAuthenticated.service.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Dev\React\SidiroIOT\client\src\services\user.service.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 5, 78
"e:\Dev\React\SidiroIOT\client\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"e:\Dev\React\SidiroIOT\client\src\translations.js", "JavaScript", 152, 0, 0, 0, 0, 0, 0, 0, 0, 152
"e:\Dev\React\SidiroIOT\client\src\workers\hwinfo.worker.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"Total", "-", 2465, 12, 7, 3, 14988, 37, 22, 147, 261, 17942
