Date : 2021-01-19 12:36:40
Directory : e:\Dev\React\SidiroIOT\client
Total : 116 files,  22900 codes, 208 comments, 563 blanks, all 23671 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\Dev\React\SidiroIOT\client\src\components\Card.component.js                                                             | JavaScript |         26 |          0 |          1 |         27 |
| e:\Dev\React\SidiroIOT\client\src\components\CircularProgress.component.js                                                 | JavaScript |         46 |         16 |          5 |         67 |
| e:\Dev\React\SidiroIOT\client\src\components\CollapsedRow.component.js                                                     | JavaScript |         71 |          0 |          8 |         79 |
| e:\Dev\React\SidiroIOT\client\src\components\CollapsibleTable.component.js                                                 | JavaScript |         30 |          0 |          1 |         31 |
| e:\Dev\React\SidiroIOT\client\src\components\ConfirmDeleteUserDialog.component.js                                          | JavaScript |         85 |          1 |          6 |         92 |
| e:\Dev\React\SidiroIOT\client\src\components\CreateAccountDialog.component.js                                              | JavaScript |        243 |          1 |         13 |        257 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesList.component.js                                                      | JavaScript |        115 |          0 |          9 |        124 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPage.component.js                                             | JavaScript |        145 |          4 |         14 |        163 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\AlertsTabContent.component.js                  | JavaScript |         85 |          0 |          7 |         92 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\AverageCalculatorTable.component.js            | JavaScript |         49 |          1 |          5 |         55 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\BandwidthLimitAlertTable.component.js          | JavaScript |         73 |          2 |          7 |         82 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\DeviceConnectionVariableTable.component.js     | JavaScript |         37 |          0 |          4 |         41 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\DeviceDetailsTitle.component.js                | JavaScript |         57 |          0 |          8 |         65 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\EdgeComputingTabContent.component.js           | JavaScript |         79 |          0 |          6 |         85 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\ExactValuesAlertTable.component.js             | JavaScript |         74 |          3 |          7 |         84 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\ExpressionCalculatorTable.component.js         | JavaScript |         68 |          2 |          6 |         76 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\FactorCalculatorTable.component.js             | JavaScript |         48 |          1 |          5 |         54 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\HighLimitAlertTable.component.js               | JavaScript |         70 |          2 |          7 |         79 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\IncreaseCalculatorTable.component.js           | JavaScript |         50 |          1 |          5 |         56 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\InternalDeviceDisplay.component.js             | JavaScript |        180 |          9 |         13 |        202 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\LowLimitAlertTable.component.js                | JavaScript |         70 |          2 |          7 |         79 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\MBDeviceDisplay.component.js                   | JavaScript |        168 |          8 |         13 |        189 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\MBGatewayDeviceDisplay.component.js            | JavaScript |        167 |          8 |         12 |        187 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\MSAgentBottomToolbar.component.js              | JavaScript |         67 |          0 |          9 |         76 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\MSAgentDeviceDisplay.component.js              | JavaScript |        242 |         15 |         20 |        277 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\S7DeviceDisplay.component.js                   | JavaScript |        178 |         10 |         14 |        202 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\StandardBottomToolbar.component.js             | JavaScript |         62 |          0 |          8 |         70 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\SumCalculatorTable.component.js                | JavaScript |         59 |          3 |          6 |         68 |
| e:\Dev\React\SidiroIOT\client\src\components\DevicesSelectionPageComponents\ValueFromByteArrayCalculatorTable.component.js | JavaScript |         48 |          1 |          5 |         54 |
| e:\Dev\React\SidiroIOT\client\src\components\Drawer.component.js                                                           | JavaScript |        487 |          4 |         25 |        516 |
| e:\Dev\React\SidiroIOT\client\src\components\Dropzone.component.js                                                         | JavaScript |         67 |          1 |         14 |         82 |
| e:\Dev\React\SidiroIOT\client\src\components\IPConfigDialog.component.js                                                   | JavaScript |        303 |          1 |         15 |        319 |
| e:\Dev\React\SidiroIOT\client\src\components\LanguageSelectionDialog.component.js                                          | JavaScript |         62 |          0 |          6 |         68 |
